type	name	kegg_pathwayid	kegg_pathwayname	kegg_category
gene	ACAT1	hsa00310	Lysine degradation	Amino acid metabolism
gene	HYKK	hsa00310	Lysine degradation	Amino acid metabolism
gene	PHYKPL	hsa00310	Lysine degradation	Amino acid metabolism
gene	PIPOX	hsa00310	Lysine degradation	Amino acid metabolism
gene	CAMKMT	hsa00310	Lysine degradation	Amino acid metabolism
gene	KMT2A	hsa00310	Lysine degradation	Amino acid metabolism
gene	KMT2D	hsa00310	Lysine degradation	Amino acid metabolism
gene	KMT2C	hsa00310	Lysine degradation	Amino acid metabolism
gene	KMT2B	hsa00310	Lysine degradation	Amino acid metabolism
gene	KMT2E	hsa00310	Lysine degradation	Amino acid metabolism
gene	SETD1B	hsa00310	Lysine degradation	Amino acid metabolism
gene	SETD1A	hsa00310	Lysine degradation	Amino acid metabolism
gene	SETD7	hsa00310	Lysine degradation	Amino acid metabolism
gene	PRDM9	hsa00310	Lysine degradation	Amino acid metabolism
gene	PRDM7	hsa00310	Lysine degradation	Amino acid metabolism
gene	ASH1L	hsa00310	Lysine degradation	Amino acid metabolism
gene	SMYD2	hsa00310	Lysine degradation	Amino acid metabolism
gene	SMYD3	hsa00310	Lysine degradation	Amino acid metabolism
gene	SMYD1	hsa00310	Lysine degradation	Amino acid metabolism
gene	SUV39H1	hsa00310	Lysine degradation	Amino acid metabolism
gene	SUV39H2	hsa00310	Lysine degradation	Amino acid metabolism
gene	EHMT2	hsa00310	Lysine degradation	Amino acid metabolism
gene	EHMT1	hsa00310	Lysine degradation	Amino acid metabolism
gene	SETDB1	hsa00310	Lysine degradation	Amino acid metabolism
gene	SETDB2	hsa00310	Lysine degradation	Amino acid metabolism
gene	PRDM2	hsa00310	Lysine degradation	Amino acid metabolism
gene	EZH1	hsa00310	Lysine degradation	Amino acid metabolism
gene	EZH2	hsa00310	Lysine degradation	Amino acid metabolism
gene	SETMAR	hsa00310	Lysine degradation	Amino acid metabolism
gene	NSD1	hsa00310	Lysine degradation	Amino acid metabolism
gene	NSD2	hsa00310	Lysine degradation	Amino acid metabolism
gene	NSD3	hsa00310	Lysine degradation	Amino acid metabolism
gene	SETD2	hsa00310	Lysine degradation	Amino acid metabolism
gene	DOT1L	hsa00310	Lysine degradation	Amino acid metabolism
gene	KMT5A	hsa00310	Lysine degradation	Amino acid metabolism
gene	PRDM6	hsa00310	Lysine degradation	Amino acid metabolism
gene	KMT5C	hsa00310	Lysine degradation	Amino acid metabolism
gene	KMT5B	hsa00310	Lysine degradation	Amino acid metabolism
gene	MECOM	hsa00310	Lysine degradation	Amino acid metabolism
gene	PRDM16	hsa00310	Lysine degradation	Amino acid metabolism
gene	TMLHE	hsa00310	Lysine degradation	Amino acid metabolism
gene	ALDH2	hsa00310	Lysine degradation	Amino acid metabolism
gene	ALDH3A2	hsa00310	Lysine degradation	Amino acid metabolism
gene	ALDH1B1	hsa00310	Lysine degradation	Amino acid metabolism
gene	ALDH9A1	hsa00310	Lysine degradation	Amino acid metabolism
gene	BBOX1	hsa00310	Lysine degradation	Amino acid metabolism
gene	PLOD1	hsa00310	Lysine degradation	Amino acid metabolism
gene	PLOD2	hsa00310	Lysine degradation	Amino acid metabolism
gene	PLOD3	hsa00310	Lysine degradation	Amino acid metabolism
gene	COLGALT1	hsa00310	Lysine degradation	Amino acid metabolism
gene	COLGALT2	hsa00310	Lysine degradation	Amino acid metabolism
gene	OTC	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	ASS1	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	ASL	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	ARG2	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	ARG1	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	NOS1	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	NOS2	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	NOS3	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	GLS2	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	GLS	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	GLUL	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	GLUD2	hsa00220	Arginine biosynthesis	Amino acid metabolism
gene	GLUD1	hsa00220	Arginine biosynthesis	Amino acid metabolism
